sweep,H,L,T
579,-120,0,0
580,-128,0,0
581,-120,0,0
582,-104,0,0
583,-128,0,0
584,-120,0,0
585,-120,0,0
586,-100,0,0
587,-112,0,0
588,-88,0,0
589,-112,0,0
590,-108,0,0
591,-120,0,0
592,-128,0,0
593,-116,0,0
594,-128,0,0
595,-128,0,0
596,-112,0,0
597,-104,0,0
598,-116,0,0
599,-96,0,0
600,-104,0,0
601,-88,0,0
602,-112,0,0
603,-108,0,0
604,-108,0,0
605,-112,0,0
606,-128,0,0
607,-112,0,0
608,-128,0,0
609,-128,0,0
610,-116,0,0
611,-128,0,0
612,-100,0,0
613,-120,0,0
614,-120,0,0
615,-104,0,0
616,-108,0,0
617,-108,0,0
618,-120,0,0
619,-96,0,0
620,-100,0,0
621,-108,0,0
622,-76,0,0
623,-84,0,0
624,-104,0,0
625,-112,0,0
626,-100,0,0
627,-112,0,0
628,-120,0,0
629,-120,0,0
630,-128,0,0
631,-128,0,0
632,-120,0,0
633,-120,0,0
634,-128,0,0
635,-128,0,0
636,-128,0,0
637,-120,0,0
638,-112,0,0
639,-128,0,0
640,-128,0,0
641,-128,0,0
642,-128,0,0
643,-104,0,0
644,-116,0,0
645,-112,0,0
646,-128,0,0
647,-108,0,0
648,-100,0,0
649,-104,0,0
650,-112,0,0
651,-128,0,0
652,-104,0,0
653,-120,0,0
654,-120,0,0
655,-128,0,0
656,-104,0,0
657,-128,0,0
658,-120,0,0
659,-92,0,0
660,-104,0,0
661,-128,0,0
662,-128,0,0
663,-128,0,0
664,-128,0,0
665,-104,0,0
666,-104,0,0
667,-116,0,0
668,-128,0,0
669,-128,0,0
670,-128,0,0
671,-112,0,0
672,-128,0,0
673,-128,0,0
674,-120,0,0
675,-112,0,0
676,-120,0,0
677,-128,0,0
678,-120,0,0
679,-116,0,0
680,-100,0,0
681,-120,0,0
682,-128,0,0
683,-120,0,0
684,-112,0,0
685,-108,0,0
686,-128,0,0
687,-108,0,0
688,-104,0,0
689,-100,0,0
690,-104,0,0
691,-128,0,0
692,-112,0,0
693,-112,0,0
694,-120,0,0
695,-128,0,0
696,-112,0,0
697,-96,0,0
698,-112,0,0
699,-96,0,0
700,-96,0,0
701,-84,0,0
702,-76,0,0
703,-96,0,0
704,-96,0,0
705,-112,0,0
706,-120,0,0
707,-128,0,0
708,-128,0,0
709,-128,0,0
710,-120,0,0
711,-108,0,0
712,-128,0,0
713,-128,0,0
714,-104,0,0
715,-96,0,0
716,-100,0,0
717,-112,0,0
718,-120,0,0
719,-120,0,0
720,-120,0,0
721,-120,0,0
722,-112,0,0
723,-116,0,0
724,-120,0,0
725,-108,0,0
726,-116,0,0
727,-128,0,0
728,-128,0,0
729,-128,0,0
730,-120,0,0
731,-120,0,0
732,-112,0,0
733,-120,0,0
734,-128,0,0
735,-128,0,0
736,-120,0,0
737,-120,0,0
738,-88,0,0
739,-92,0,0
740,-112,0,0
741,-120,0,0
742,-108,0,0
743,-128,0,0
744,-120,0,0
745,-100,0,0
746,-120,0,0
747,-128,0,0
