sweep,H,L,T
744,-96,0,0
745,-88,0,0
746,-104,0,0
747,-92,0,0
748,-76,0,0
749,-108,0,0
750,-96,0,0
751,-68,0,0
752,-60,0,0
753,-92,0,0
754,-92,0,0
755,-84,0,0
756,-88,0,0
757,-84,0,0
758,-88,0,0
759,-84,0,0
760,-116,0,0
761,-100,0,0
762,-104,0,0
763,-100,0,0
764,-64,0,0
765,-76,0,0
766,-56,0,0
767,-60,0,0
768,-44,0,0
769,-64,0,0
770,-56,0,0
771,-44,0,0
772,-80,0,0
773,-96,0,0
774,-108,0,0
775,-80,0,0
776,-76,0,0
777,-64,0,0
778,-72,0,0
779,-84,0,0
780,-68,0,0
781,-68,0,0
782,-60,0,0
783,-64,0,0
784,-56,0,0
785,-68,0,0
786,-48,0,0
787,-68,0,0
788,-92,0,0
789,-100,0,0
790,-84,0,0
791,-112,0,0
792,-100,0,0
793,-104,0,0
794,-96,0,0
795,-80,0,0
796,-80,0,0
797,-80,0,0
798,-100,0,0
799,-92,0,0
800,-104,0,0
801,-100,0,0
802,-84,0,0
803,-80,0,0
804,-120,0,0
805,-112,0,0
806,-92,0,0
807,-120,0,0
808,-116,0,0
809,-80,0,0
810,-128,0,0
811,-84,0,0
812,-80,0,0
813,-76,0,0
814,-72,0,0
815,-72,0,0
816,-64,0,0
817,-80,0,0
818,-104,0,0
819,-80,0,0
820,-100,0,0
821,-72,0,0
822,-104,0,0
823,-108,0,0
824,-116,0,0
825,-104,0,0
826,-92,0,0
827,-72,0,0
828,-76,0,0
829,-68,0,0
830,-100,0,0
831,-104,0,0
832,-120,0,0
833,-112,0,0
834,-88,0,0
835,-112,0,0
836,-84,0,0
837,-84,0,0
838,-44,0,0
839,-40,0,0
840,-44,0,0
841,-32,0,0
842,-44,0,0
843,-60,0,0
844,-56,0,0
845,-68,0,0
846,-56,0,0
847,-60,0,0
848,-60,0,0
849,-48,0,0
850,-72,0,0
851,-60,0,0
852,-60,0,0
853,-64,0,0
854,-72,0,0
855,-80,0,0
856,-72,0,0
857,-64,0,0
858,-44,0,0
859,-64,0,0
860,-40,0,0
861,-44,0,0
862,-36,0,0
863,-56,0,0
864,-52,0,0
865,-80,0,0
866,-80,0,0
867,-88,0,0
868,-96,0,0
869,-76,0,0
870,-60,0,0
871,-56,0,0
872,-52,0,0
873,-40,0,0
874,-64,0,0
875,-80,0,0
876,-108,0,0
877,-108,0,0
878,-76,0,0
879,-40,0,0
880,-68,0,0
881,-64,0,0
882,-84,0,0
883,-104,0,0
884,-128,0,0
885,-120,0,0
886,-120,0,0
887,-120,0,0
888,-128,0,0
889,-104,0,0
890,-96,0,0
891,-72,0,0
892,-64,0,0
893,-64,0,0
894,-68,0,0
895,-76,0,0
896,-52,0,0
897,-60,0,0
898,-52,0,0
899,-92,0,0
900,-92,0,0
901,-40,0,0
902,-32,0,0
903,-56,0,0
904,-56,0,0
905,-52,0,0
906,-52,0,0
907,-52,0,0
908,-52,0,0
909,-56,0,0
910,-92,0,0
911,-68,0,0
912,-96,0,0
913,-80,0,0
914,-60,0,0
915,-100,0,0
916,-120,0,0
917,-104,0,0
918,-88,0,0
919,-60,0,0
920,-56,0,0
921,-76,0,0
922,-80,0,0
923,-68,0,0
924,-100,0,0
925,-108,0,0
926,-92,0,0
927,-72,0,0
928,-72,0,0
929,-52,0,0
930,-72,0,0
931,-40,0,0
932,-72,0,0
933,-72,0,0
934,-56,0,0
935,-64,0,0
936,-80,0,0
937,-48,0,0
938,-72,0,0
939,-68,0,0
940,-68,0,0
941,-36,0,0
942,-40,0,0
943,-44,0,0
944,-72,0,0
945,-88,0,0
946,-52,0,0
947,-44,0,0
948,-60,0,0
949,-84,0,0
950,-76,0,0
951,-76,0,0
952,-128,0,0
953,-76,0,0
954,-84,0,0
955,-112,0,0
956,-120,0,0
957,-92,0,0
958,-68,0,0
959,-68,0,0
960,-52,0,0
961,-68,0,0
962,-52,0,0
963,-36,0,0
964,-68,0,0
965,-52,0,0
966,-80,0,0
967,-100,0,0
968,-68,0,0
969,-60,0,0
970,-68,0,0
971,-68,0,0
972,-28,0,0
973,-52,0,0
974,-56,0,0
975,-72,0,0
976,-88,0,0
977,-88,0,0
978,-96,0,0
979,-108,0,0
980,-84,0,0
981,-60,0,0
982,-68,0,0
983,-88,0,0
984,-92,0,0
985,-84,0,0
986,-100,0,0
987,-120,0,0
988,-116,0,0
989,-96,0,0
990,-100,0,0
991,-92,0,0
992,-72,0,0
993,-64,0,0
994,-96,0,0
995,-68,0,0
996,-52,0,0
997,-76,0,0
998,-92,0,0
999,-108,0,0
1000,-56,0,0
1001,-60,0,0
1002,-40,0,0
1003,-52,0,0
1004,-72,0,0
1005,-36,0,0
1006,-60,0,0
1007,-56,0,0
1008,-64,0,0
1009,-60,0,0
1010,-88,0,0
1011,-80,0,0
1012,-108,0,0
1013,-116,0,0
1014,-112,0,0
1015,-96,0,0
1016,-76,0,0
1017,-64,0,0
1018,-76,0,0
1019,-68,0,0
1020,-40,0,0
1021,-60,0,0
1022,-68,0,0
1023,-76,0,0
1024,-88,0,0
1025,-100,0,0
1026,-112,0,0
1027,-68,0,0
1028,-100,0,0
1029,-112,0,0
1030,-108,0,0
1031,-80,0,0
1032,-76,0,0
1033,-80,0,0
1034,-68,0,0
1035,-104,0,0
1036,-84,0,0
1037,-88,0,0
1038,-68,0,0
1039,-88,0,0
1040,-76,0,0
1041,-64,0,0
1042,-40,0,0
1043,-60,0,0
1044,-76,0,0
1045,-80,0,0
1046,-104,0,0
1047,-96,0,0
1048,-80,0,0
1049,-108,0,0
1050,-120,0,0
1051,-96,0,0
1052,-72,0,0
1053,-96,0,0
1054,-112,0,0
1055,-100,0,0
1056,-76,0,0
1057,-88,0,0
1058,-64,0,0
1059,-68,0,0
1060,-72,0,0
1061,-72,0,0
1062,-100,0,0
1063,-100,0,0
1064,-112,0,0
1065,-72,0,0
1066,-84,0,0
1067,-104,0,0
1068,-76,0,0
1069,-88,0,0
1070,-88,0,0
1071,-88,0,0
1072,-92,0,0
1073,-68,0,0
1074,-76,0,0
1075,-60,0,0
1076,-72,0,0
1077,-80,0,0
1078,-84,0,0
1079,-92,0,0
1080,-92,0,0
1081,-76,0,0
1082,-64,0,0
1083,-64,0,0
1084,-48,0,0
1085,-64,0,0
1086,-48,0,0
1087,-60,0,0
1088,-52,0,0
1089,-68,0,0
1090,-76,0,0
1091,-84,0,0
1092,-128,0,0
1093,-128,0,0
1094,-116,0,0
1095,-60,0,0
1096,-56,0,0
1097,-56,0,0
1098,-80,0,0
1099,-64,0,0
1100,-60,0,0
1101,-72,0,0
1102,-100,0,0
1103,-112,0,0
1104,-64,0,0
1105,-108,0,0
1106,-80,0,0
1107,-80,0,0
1108,-88,0,0
1109,-88,0,0
1110,-100,0,0
1111,-72,0,0
1112,-72,0,0
1113,-76,0,0
1114,-92,0,0
1115,-88,0,0
1116,-128,0,0
1117,-112,0,0
1118,-92,0,0
1119,-80,0,0
1120,-84,0,0
1121,-112,0,0
1122,-88,0,0
1123,-92,0,0
1124,-84,0,0
1125,-96,0,0
1126,-108,0,0
1127,-92,0,0
1128,-104,0,0
1129,-120,0,0
1130,-104,0,0
1131,-104,0,0
1132,-72,0,0
1133,-64,0,0
1134,-72,0,0
1135,-96,0,0
1136,-100,0,0
1137,-96,0,0
1138,-80,0,0
1139,-100,0,0
1140,-92,0,0
1141,-112,0,0
1142,-112,0,0
1143,-84,0,0
1144,-76,0,0
1145,-80,0,0
1146,-72,0,0
1147,-44,0,0
1148,-80,0,0
1149,-60,0,0
1150,-68,0,0
1151,-96,0,0
1152,-80,0,0
1153,-96,0,0
1154,-92,0,0
1155,-100,0,0
1156,-60,0,0
1157,-68,0,0
1158,-100,0,0
1159,-104,0,0
1160,-88,0,0
1161,-84,0,0
1162,-100,0,0
1163,-88,0,0
1164,-96,0,0
1165,-88,0,0
1166,-96,0,0
1167,-100,0,0
1168,-88,0,0
1169,-92,0,0
1170,-88,0,0
1171,-76,0,0
1172,-68,0,0
1173,-64,0,0
1174,-92,0,0
1175,-96,0,0
1176,-72,0,0
1177,-64,0,0
1178,-40,0,0
1179,-80,0,0
1180,-104,0,0
1181,-100,0,0
1182,-96,0,0
1183,-96,0,0
1184,-96,0,0
